param,index,eigenvalue,trace_proxy,effective_rank
vp,0,7850879.623794959,,
vp,1,1026643.4128227986,,
vp,2,306788.74399093306,,
vp,3,129813.81875874316,,
vp,4,66556.79788373588,,
vp,5,38545.67654466122,,
vp,6,24284.689145132612,,
vp,7,16273.642052305191,,
vp,8,11431.810009144585,,
vp,9,8334.994948136107,,
vp,10,6262.875306506705,,
vp,11,4824.401413876704,,
vp,12,3794.7627788856803,,
vp,13,3038.4522453250966,,
vp,14,2470.474407191745,,
vp,15,2035.6757575685904,,
vp,16,1697.2027889363253,,
vp,17,1429.7924466348925,,
vp,18,1215.732942549442,,
vp,19,1042.3563964146874,,
vp,20,900.4395555388027,,
vp,21,783.1587480834238,,
vp,22,685.39202406538,,
vp,23,603.2439309634419,,
vp,24,533.7161035466703,,
vp,25,474.4752055434512,,
vp,26,423.6870160638635,,
vp,27,379.89618445437634,,
vp,28,341.93798488041415,,
vp,29,308.8728004828254,,
vp,30,279.9369573166655,,
vp,31,254.50545745843414,,
vp,32,232.0634670761522,,
vp,33,212.1843119287576,,
vp,34,194.5123559829802,,
vp,35,178.74957711467366,,
vp,36,164.64496548940235,,
vp,37,151.98609409334847,,
vp,38,140.59237329103763,,
vp,39,130.3096201834361,,
vp,40,121.00566134061856,,
vp,41,112.56675285290251,,
vp,42,104.89465069217042,,
vp,43,97.9042014478244,,
vp,44,91.5213517194645,,
vp,45,85.68149606910211,,
vp,46,80.32810010686661,,
vp,47,75.41154821654804,,
vp,48,70.88817551729338,,
vp,49,66.71945157348419,,
vp,50,62.871289607523885,,
vp,51,59.31345991840673,,
vp,52,56.019090149948354,,
vp,53,52.96423820597761,,
vp,54,50.12752614425619,,
vp,55,47.48982542660469,,
vp,56,45.033985560716246,,
vp,57,42.74459951823353,,
vp,58,40.607800415582666,,
vp,59,38.61108484739637,,
vp,60,36.74315900552406,,
vp,61,34.993804330109114,,
vp,62,33.353759947313264,,
vp,63,31.814619570430352,,
vp,64,30.368740892968724,,
vp,65,29.009165796386753,,
vp,66,27.729549941717046,,
vp,67,26.524100521580813,,
vp,68,25.387521123804476,,
vp,69,24.31496280550597,,
vp,70,23.301980601624855,,
vp,71,22.344494798133354,,
vp,72,21.438756390639746,,
vp,73,20.581316226305116,,
vp,74,19.768997393033807,,
vp,75,18.998870476506365,,
vp,76,18.268231354252247,,
vp,77,17.57458123781959,,
vp,78,16.915608710204936,,
vp,79,16.289173536910976,,
vp,80,15.69329205601982,,
vp,81,15.126123976109996,,
vp,82,14.585960431216519,,
vp,83,14.071213159770034,,
vp,84,13.580404689918733,,
vp,85,13.11215942715049,,
vp,86,12.665195551956415,,
vp,87,12.238317645641109,,
vp,88,11.830409971481414,,
vp,89,11.440430346433823,,
vp,90,11.067404545631911,,
vp,91,10.710421188124789,,
vp,92,10.368627057789888,,
vp,93,10.041222818201506,,
vp,94,9.727459084529302,,
vp,95,9.426632819346647,,
vp,96,9.13808402260789,,
vp,97,8.861192689056878,,
vp,98,8.595376009002427,,
vp,99,8.34008579077847,,
vp,100,8.094806085332024,,
vp,101,7.8590509952803105,,
vp,102,7.632362652476181,,
vp,103,7.414309349640604,,
vp,104,7.2044838129833035,,
vp,105,7.002501603954538,,
vp,106,6.8079996393688695,,
vp,107,6.620634820128605,,
vp,108,6.440082759662784,,
vp,109,6.266036603997938,,
vp,110,6.0982059360984175,,
vp,111,5.936315757765478,,
vp,112,5.780105542973006,,
vp,113,5.629328357049932,,
vp,114,5.483750036601197,,
vp,115,5.343148425495815,,
vp,116,5.207312662646143,,
vp,117,5.0760425176620245,,
vp,118,4.949147770789553,,
vp,119,4.8264476338410285,,
vp,120,4.707770209092504,,
vp,121,4.592951983371178,,
vp,122,4.481837354778785,,
vp,123,4.3742781897015295,,
vp,124,4.2701334079434465,,
vp,125,4.1692685939904255,,
vp,126,4.071555632567809,,
vp,127,3.976872366796815,,
vp,128,3.8851022773854655,,
vp,129,3.796134181409017,,
vp,130,3.709861949344411,,
vp,131,3.6261842391236256,,
vp,132,3.54500424606298,,
vp,133,3.4662294676101286,,
vp,134,3.3897714819282125,,
vp,135,3.315545739408292,,
vp,136,3.243471366266975,,
vp,137,3.1734709794468072,,
vp,138,3.105470512092902,,
vp,139,3.0393990489308056,,
vp,140,2.9751886709180635,,
vp,141,2.9127743085859414,,
vp,142,2.852093603528172,,
vp,143,2.7930867775310992,,
vp,144,2.7356965088742426,,
vp,145,2.679867815362273,,
vp,146,2.6255479436791234,,
vp,147,2.5726862646823805,,
vp,148,2.521234174281562,,
vp,149,2.4711449995675068,,
vp,150,2.422373909881973,,
vp,151,2.37487783253686,,
vp,152,2.3286153729113557,,
vp,153,2.2835467386728268,,
vp,154,2.2396336678835445,,
vp,155,2.1968393607705266,,
vp,156,2.1551284149498464,,
vp,157,2.114466763909877,,
vp,158,2.0748216185701893,,
vp,159,2.0361614117441573,,
vp,160,1.9984557453439937,,
vp,161,1.961675340176788,,
vp,162,1.9257919881893588,,
vp,163,1.8907785070283833,,
vp,164,1.8566086967902597,,
vp,165,1.8232572988427156,,
vp,166,1.7906999566071828,,
vp,167,1.7589131781975094,,
vp,168,1.7278743008167625,,
vp,169,1.6975614568195843,,
vp,170,1.6679535413529467,,
vp,171,1.6390301814932147,,
vp,172,1.6107717068021161,,
vp,173,1.5831591212286549,,
vp,174,1.5561740762881342,,
vp,175,1.5297988454533766,,
vp,176,1.5040162996968307,,
vp,177,1.4788098841257227,,
vp,178,1.4541635956555812,,
vp,179,1.4300619616705268,,
vp,180,1.4064900196215266,,
vp,181,1.3834332975164771,,
vp,182,1.3608777952585098,,
vp,183,1.338809966791247,,
vp,184,1.3172167030119721,,
vp,185,1.296085315415748,,
vp,186,1.275403520435498,,
vp,187,1.2551594244449213,,
vp,188,1.235341509392818,,
vp,189,1.2159386190391057,,
vp,190,1.1969399457643053,,
vp,191,1.178335017925759,,
vp,192,1.160113687735219,,
vp,193,1.1422661196337462,,
vp,194,1.124782779141082,,
vp,195,1.1076544221578162,,
vp,196,1.0908720846997795,,
vp,197,1.0744270730450962,,
vp,198,1.0583109542753495,,
vp,199,1.0425155471931948,,
vp,summary,nan,9517177.411567101,2.013637317215039
vs_IC,0,1000000000.0000001,,
vs_IC,1,19870.13614124546,,
vs_IC,2,3912.9760356589086,,
vs_IC,3,1391.7256627328168,,
vs_IC,4,648.378053680637,,
vs_IC,5,353.360307204236,,
vs_IC,6,213.46526577373862,,
vs_IC,7,138.71001863954518,,
vs_IC,8,95.17372217234224,,
vs_IC,9,68.1146047767924,,
vs_IC,10,50.41725032764851,,
vs_IC,11,38.35795429840501,,
vs_IC,12,29.85839675408231,,
vs_IC,13,23.696020395405046,,
vs_IC,14,19.11951407055736,,
vs_IC,15,15.649766417600823,,
vs_IC,16,12.971403147370195,,
vs_IC,17,10.871041838566418,,
vs_IC,18,9.200789409328664,,
vs_IC,19,7.85593997695107,,
vs_IC,20,6.760947901738945,,
vs_IC,21,5.860375554655348,,
vs_IC,22,5.112915609896415,,
vs_IC,23,4.487361147253096,,
vs_IC,24,3.959837606428683,,
vs_IC,25,3.5118689061001933,,
vs_IC,26,3.1290052284070886,,
vs_IC,27,2.7998354082054036,,
vs_IC,28,2.515266773402034,,
vs_IC,29,2.267993635036187,,
vs_IC,30,2.0521005999826554,,
vs_IC,31,1.8627634187021762,,
vs_IC,32,1.6960211968059735,,
vs_IC,33,1.5486013743954021,,
vs_IC,34,1.4177841093584882,,
vs_IC,35,1.3012963587896902,,
vs_IC,36,1.1972285375098803,,
vs_IC,37,1.103968480520807,,
vs_IC,38,1.0201487701488952,,
vs_IC,39,0.9446044604373128,,
vs_IC,40,0.8763389454210232,,
