s,t,n_data,chi_rms,chi2_per_datum,max_abs_standardized_residual,residual_l2
0,0,186,4.383791314944762,19.21762629298513,11.23646680307039,0.015293236948610022
2,0,186,2.492407726362461,6.212096274431292,10.858204339295657,0.019529042104010647
2,1,186,2.1977995488102544,4.830322856750558,11.51599021891781,0.012490207365996374
2,2,186,1.5643462908188033,2.447179317598548,11.266055265333778,0.01063276486797292
2,3,186,2.5816069204914576,6.664694291929387,11.659009098304915,0.03561051117237502
2,4,186,3.7900293527459086,14.36432249467557,20.516950059126614,0.028890755275814237
4,0,170,1.3176625923704062,1.7362347073322995,6.932348679688468,0.006132930230067182
4,1,170,1.0243393328561554,1.0492710688361935,4.307478944270709,0.0070852065518869755
4,2,170,0.6812162698228166,0.4640556062713125,2.0814994244278635,0.005592737829659005
4,3,170,1.5265000897544247,2.330202524020267,9.507339195505528,0.011638040744437568
4,4,170,1.0593630442238373,1.1222500594671958,4.260859989645517,0.010117232233263412
4,5,170,0.831180550907695,0.6908611082072195,3.313002959476436,0.006713879787225508
4,6,170,0.690332118631092,0.47655843401369213,3.1820423496444543,0.0062947504379229436
4,7,170,0.5654568787336051,0.3197414817071509,2.480298601492652,0.0049175467643827785
4,8,170,1.7681214408737602,3.126253429677502,10.463006002834772,0.013786395672655912
6,0,149,0.8020230538434457,0.6432409788963667,3.552477692072006,0.0033574195780603964
6,1,149,0.8305479225512641,0.6898098516542205,3.415486474707153,0.005644464424914976
6,2,149,0.7280076082621667,0.5299950776876003,3.9871675763726935,0.005470298215703793
6,3,149,0.7418973398155349,0.5504116628253671,2.7759182820316988,0.0059833041795522915
6,4,149,0.6987784237459032,0.48829128549280904,2.202557043389437,0.004319368918730329
6,5,149,0.5115255505148691,0.26165838882953996,1.72661003154853,0.00448816080727145
6,6,149,1.1953055859393595,1.4287554437778356,5.256792803964958,0.0088606153835357
6,7,149,0.6167263871375288,0.3803514365917091,2.518991440297363,0.004422565125448519
6,8,149,0.8107849550654675,0.6573722433605123,3.466370286706461,0.006464740028272712
6,9,149,0.8808005152836698,0.7758095477239783,3.6046663060483035,0.0065888372136396305
6,10,149,0.5422030910939897,0.2939841919918773,2.001647454892119,0.005369511275294475
6,11,149,0.6344649718725434,0.4025458005332272,2.3749197774383966,0.0051914021540121575
6,12,149,0.49875209457038516,0.24875365183834644,1.3768202540314365,0.0047157499627548324
